tmdb_id,title,release_date,budget,runtime,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,is_sequel,director_name,director_popularity,lead_actor_name,lead_actor_popularity,genres,production_studios,mpaa_rating,release_month,is_holiday_release
117942,Girls Gone Dead,2012-03-28,500000,104,2.8702,60,4.4,0,Aaron T. Wells,0.0143,Katie Peterson,0.0782,Horror|Comedy,Spy Global Media,R,3,0
109125,The Amazing Bulk,2012-04-17,14000,76,3.0115,72,2.5,0,Lewis Schoenbrun,0.6493,Jordan Lawson,0.0731,Action|Comedy|Science Fiction|Adventure|Animation,Laybl Productions,G,4,0
82485,Transit,2012-03-22,5000000,88,3.3409,224,5.7,0,Antonio Negret,0.1906,Jim Caviezel,4.9482,Action|Thriller|Crime,After Dark Films|Signature Entertainment|Bettis Productions Limited|Curtis Productions|Autonomous Films|The Fyzz,R,3,0
100183,Outpost: Black Sun,2012-04-25,3000000,101,3.475,119,5.025,1,Steve Barker,1.4,Catherine Steadman,0.5506,Action|Horror,Black Camel Pictures|Splice Post,NR,4,0
77016,End of Watch,2012-09-20,7000000,109,3.0098,3471,7.35,0,David Ayer,1.0222,Jake Gyllenhaal,7.9386,Crime|Drama|Thriller,5150 Action|Exclusive Media|Hedge Fund Film Partners|Crave Films|Knightsbridge Entertainment|Le Grisbi Productions|Emmett/Furla Films,R,9,0
73935,Vamps,2012-08-25,16000000,93,3.0751,291,5.34,0,Amy Heckerling,0.4649,Alicia Silverstone,5.1148,Comedy|Romance|Horror,Lucky Monkey Pictures|Red Hour,PG-13,8,0
79694,The Apparition,2012-08-23,17000000,82,2.8624,448,4.454,0,Todd Lincoln,0.1761,Ashley Greene,1.9905,Horror|Thriller,Dark Castle Entertainment|StudioCanal|Warner Bros. Pictures|Studio Babelsberg,PG-13,8,0
192126,Revenge for Jolly!,2012-07-17,10000000,85,2.6084,50,4.6,0,Chadd Harbold,0.1879,Brian Petsos,0.3864,Comedy|Drama,Sony Pictures Home Entertainment,R,7,0
95755,Small Apartments,2012-03-10,2000000,96,2.8996,158,5.8,0,Jonas Åkerlund,0.6754,Matt Lucas,1.8155,Comedy|Crime|Drama,1812 Productions|Morocco Junction Pictures|Deviant Films|Amuse Pictures|Inferno Distribution|Silver Nitrate,R,3,0
84329,Robot & Frank,2012-08-24,2500000,89,3.5816,1132,6.912,0,Jake Schreier,0.4085,Frank Langella,1.5773,Science Fiction|Comedy|Drama|Crime,Park Pictures Features|TBB|Dog Run Pictures|White Hat Entertainment|Samuel Goldwyn Films|Stage 6 Films,PG-13,8,0
89691,ATM,2012-02-17,3000000,91,2.9058,643,5.079,0,David Brooks,0.088,Alice Eve,6.0668,Horror|Thriller,The Safran Company|Gold Circle Films|Buffalo Gal Pictures,R,2,0
76489,The Three Stooges,2012-04-13,30000000,92,2.5488,619,5.8,0,Peter Farrelly,1.252,Sean Hayes,1.139,Comedy,"Wessler Entertainment|20th Century Fox|Conundrum Entertainment|C3 Entertainment, Inc.|Dune Entertainment",PG,4,0
124972,Generation Um...,2012-07-11,1700000,96,2.547,95,3.9,0,Mark Mann,0.0214,Keanu Reeves,11.5062,Drama,Company Films|Voltage Pictures,R,7,0
80271,LOL,2012-02-10,11000000,97,2.5176,2726,6.105,0,Lisa Azuelos,0.3024,Miley Cyrus,1.8464,Drama|Comedy|Romance,PIC Agency|Double Feature Films|Lol Productions|Mandate Pictures|Lionsgate|Mandate International|HopeTown Entertainment,PG-13,2,0
77953,The Campaign,2012-08-09,95000000,85,2.6349,1813,5.835,0,Jay Roach,0.7561,Will Ferrell,2.198,Comedy,Location Gourmet|Gary Sanchez Productions|Everyman Pictures|Warner Bros. Pictures,R,8,0
127493,Stolen,2012-09-06,35000000,96,2.334,1075,5.5,0,Simon West,0.9977,Nicolas Cage,6.3482,Action|Crime|Thriller,Saturn Films|Nu Image,R,9,0
59962,This Means War,2012-02-14,65000000,98,3.2192,3499,6.183,0,McG,0.7213,Reese Witherspoon,3.5603,Action|Comedy|Romance,Dune Entertainment|Overbrook Entertainment|Robert Simonds Productions|20th Century Fox,PG-13,2,0
146631,U.F.O.,2012-12-15,2500000,101,2.4086,184,4.2,0,Dominic Burns,0.2764,Bianca Bree,1.6892,Action|Science Fiction,Hawthorn Productions|Hawthorne Productions,R,12,1
122857,Universal Soldier: Day of Reckoning,2012-10-04,11500000,113,2.5371,464,5.56,1,John Hyams,0.5859,Jean-Claude Van Damme,7.5435,Action|Science Fiction|Thriller,Signature Pictures|Foresight Unlimited|Baumgarten Management and Productions (BMP)|Magnolia Pictures|Sony Pictures,R,10,0
